filename,timestamp,camera_id,species,count,confidence,location_id,reviewer
IMG_0001.JPG,2024-05-01T05:58:12,cam_01,deer,2,0.93,loc_A,auto
IMG_0002.JPG,2024-05-01T06:02:44,cam_01,deer,1,0.91,loc_A,auto
IMG_0003.JPG,2024-05-01T06:05:10,cam_01,deer,1,0.94,loc_A,auto

IMG_0004.JPG,2024-05-01T21:14:03,cam_02,raccoon,1,0.86,loc_B,auto
IMG_0005.JPG,2024-05-01T21:18:27,cam_02,raccoon,2,0.82,loc_B,auto
IMG_0006.JPG,2024-05-01T22:01:55,cam_02,opossum,1,0.77,loc_B,auto

IMG_0007.JPG,2024-05-01T18:42:10,cam_03,fox,1,0.69,loc_C,reviewer_1
IMG_0008.JPG,2024-05-01T18:46:02,cam_03,fox,1,0.72,loc_C,reviewer_1

IMG_0009.JPG,2024-05-02T06:01:31,cam_01,deer,3,0.92,loc_A,auto
IMG_0010.JPG,2024-05-02T06:07:19,cam_01,deer,1,0.89,loc_A,auto

IMG_0011.JPG,2024-05-02T20:55:44,cam_02,raccoon,1,0.83,loc_B,auto
IMG_0012.JPG,2024-05-02T21:02:11,cam_02,raccoon,1,0.81,loc_B,auto
IMG_0013.JPG,2024-05-02T21:45:33,cam_02,raccoon,2,0.84,loc_B,auto

IMG_0014.JPG,2024-05-02T19:12:57,cam_03,fox,1,0.71,loc_C,reviewer_1

IMG_0015.JPG,2024-05-03T05:49:08,cam_01,deer,1,0.95,loc_A,auto
IMG_0016.JPG,2024-05-03T06:03:22,cam_01,deer,2,0.94,loc_A,auto

IMG_0017.JPG,2024-05-03T22:10:19,cam_02,raccoon,1,0.80,loc_B,auto
IMG_0018.JPG,2024-05-03T22:44:50,cam_02,opossum,1,0.75,loc_B,auto

IMG_0019.JPG,2024-05-03T18:36:41,cam_03,fox,1,0.73,loc_C,reviewer_1
IMG_0020.JPG,2024-05-03T19:01:03,cam_03,fox,1,0.70,loc_C,reviewer_1
